agency_id,agency_name,agency_type,district_id,status
1,PWD HINGOLI,Government,1,ACTIVE
2,PWD BARAMULLAH,Government,2,ACTIVE
3,PWD AURANGABAD_BR,Government,3,ACTIVE
4,PWD TAMLUK,Government,4,ACTIVE
5,PWD MURSHIDABAD,Government,5,ACTIVE
6,PWD KANTHI,Government,6,ACTIVE
7,PWD BADAUN,Government,7,ACTIVE
8,PWD ATTINGAL,Government,8,ACTIVE
9,PWD IDUKKI,Government,9,ACTIVE
10,PWD NANDURBAR(ST),Government,10,ACTIVE
11,PWD KOTTAYAM,Government,11,ACTIVE
12,PWD GHAZIPUR,Government,12,ACTIVE
13,PWD SRINAGAR,Government,13,ACTIVE
14,PWD NAINITAL UDHAM SINGH NAG.,Government,14,ACTIVE
15,PWD BHAGALPUR,Government,15,ACTIVE
16,PWD ALMORA(SC),Government,16,ACTIVE
17,PWD HAMIRPUR_UP,Government,17,ACTIVE
18,PWD KANNAUJ,Government,18,ACTIVE
19,PWD FIROZABAD,Government,19,ACTIVE
20,PWD OUTER MANIPUR(ST),Government,20,ACTIVE
21,PWD GOPALGANJ (SC),Government,21,ACTIVE
22,PWD BHOPAL,Government,22,ACTIVE
23,PWD WARDHA,Government,23,ACTIVE
24,PWD Diphu (ST),Government,24,ACTIVE
25,PWD ANANTAPUR,Government,25,ACTIVE
26,PWD SHIRUR,Government,26,ACTIVE
27,PWD SIKAR,Government,27,ACTIVE
28,PWD LUDHIANA,Government,28,ACTIVE
29,PWD DHAURAHRA,Government,29,ACTIVE
30,PWD BAHRAICH(SC),Government,30,ACTIVE
31,PWD KEONJHAR(ST),Government,31,ACTIVE
32,PWD NILGIRIS(SC),Government,32,ACTIVE
33,PWD SHILLONG,Government,33,ACTIVE
34,PWD INNER MANIPUR,Government,34,ACTIVE
35,PWD GARHWAL,Government,35,ACTIVE
36,PWD MUMBAI SOUTH CENTRAL,Government,36,ACTIVE
37,PWD RATLAM(ST),Government,37,ACTIVE
38,PWD ASKA,Government,38,ACTIVE
39,PWD KODARMA,Government,39,ACTIVE
40,PWD HATHRAS (SC),Government,40,ACTIVE
41,PWD PATHANAMTHITTA,Government,41,ACTIVE
42,PWD AKOLA,Government,42,ACTIVE
43,PWD JHANSI,Government,43,ACTIVE
44,PWD HAMIRPUR_HP,Government,44,ACTIVE
45,PWD VIZIANAGARAM,Government,45,ACTIVE
46,PWD JAMUI(SC),Government,46,ACTIVE
47,PWD MEERUT,Government,47,ACTIVE
48,PWD PERAMBALUR,Government,48,ACTIVE
49,PWD MAHABUBNAGAR,Government,49,ACTIVE
50,PWD BANKURA,Government,50,ACTIVE
51,PWD NIZAMABAD,Government,51,ACTIVE
52,PWD MUMBAI SOUTH,Government,52,ACTIVE
53,PWD HYDERABAD,Government,53,ACTIVE
54,PWD JABALPUR,Government,54,ACTIVE
55,PWD MISRIKH(SC),Government,55,ACTIVE
56,PWD MADHUBANI,Government,56,ACTIVE
57,PWD BOLPUR(SC),Government,57,ACTIVE
58,PWD GHAZIABAD,Government,58,ACTIVE
59,PWD BHADRAK(SC),Government,59,ACTIVE
60,PWD FAIZABAD,Government,60,ACTIVE
61,PWD BARDHAMAN-DURGAPUR,Government,61,ACTIVE
62,PWD HINDUPUR,Government,62,ACTIVE
63,PWD JAUNPUR,Government,63,ACTIVE
64,PWD DHULE,Government,64,ACTIVE
65,PWD ARAMBAG(SC),Government,65,ACTIVE
66,PWD KENDRAPARA,Government,66,ACTIVE
67,PWD BEED,Government,67,ACTIVE
68,PWD NABARANGPUR(ST),Government,68,ACTIVE
69,PWD MACHILIPATNAM,Government,69,ACTIVE
