constituency_id,constituency_name,district_id
1,HINGOLI,1
2,BARAMULLAH,2
3,AURANGABAD_BR,3
4,TAMLUK,4
5,MURSHIDABAD,5
6,KANTHI,6
7,BADAUN,7
8,ATTINGAL,8
9,IDUKKI,9
10,NANDURBAR(ST),10
11,KOTTAYAM,11
12,GHAZIPUR,12
13,SRINAGAR,13
14,NAINITAL UDHAM SINGH NAG.,14
15,BHAGALPUR,15
16,ALMORA(SC),16
17,HAMIRPUR_UP,17
18,KANNAUJ,18
19,FIROZABAD,19
20,OUTER MANIPUR(ST),20
21,GOPALGANJ (SC),21
22,BHOPAL,22
23,WARDHA,23
24,Diphu (ST),24
25,ANANTAPUR,25
26,SHIRUR,26
27,SIKAR,27
28,LUDHIANA,28
29,DHAURAHRA,29
30,BAHRAICH(SC),30
31,KEONJHAR(ST),31
32,NILGIRIS(SC),32
33,SHILLONG,33
34,INNER MANIPUR,34
35,GARHWAL,35
36,MUMBAI SOUTH CENTRAL,36
37,RATLAM(ST),37
38,ASKA,38
39,KODARMA,39
40,HATHRAS (SC),40
41,PATHANAMTHITTA,41
42,AKOLA,42
43,JHANSI,43
44,HAMIRPUR_HP,44
45,VIZIANAGARAM,45
46,JAMUI(SC),46
47,MEERUT,47
48,PERAMBALUR,48
49,MAHABUBNAGAR,49
50,BANKURA,50
51,NIZAMABAD,51
52,MUMBAI SOUTH,52
53,HYDERABAD,53
54,JABALPUR,54
55,MISRIKH(SC),55
56,MADHUBANI,56
57,BOLPUR(SC),57
58,GHAZIABAD,58
59,BHADRAK(SC),59
60,FAIZABAD,60
61,BARDHAMAN-DURGAPUR,61
62,HINDUPUR,62
63,JAUNPUR,63
64,DHULE,64
65,ARAMBAG(SC),65
66,KENDRAPARA,66
67,BEED,67
68,NABARANGPUR(ST),68
69,MACHILIPATNAM,69
70,MAHABUBABAD,70
71,AMRAVATI(SC),71
72,BHIWANDI,72
73,NEW DELHI,73
74,MATHURAPUR(SC),74
75,HAVERI,75
76,KURNOOL,76
77,AJMER,77
78,KARAULI-DHOLPUR(SC),78
79,GWALIOR,79
80,AMRELI,80
81,PATAN,81
82,BALAGHAT,82
83,DINDORI(ST),83
84,SHIRDI(SC),84
85,KANKER(ST),85
86,BULANDSHAHR(SC),86
87,AURANGABAD_MH,87
88,NARASAPURAM,88
89,ALWAR,89
90,JAGATSINGHPUR(SC),90
91,JAMSHEDPUR,91
92,GUWAHATI,92
93,TRIPURA WEST,93
94,ANDAMAN AND NICOBAR ISLANDS,94
95,JHUNJHUNU,95
96,RAIPUR,96
97,CHHINDWARA,97
98,NAVSARI,98
99,ANAKAPALLE,99
100,DAKSHINA KANNADA,100
101,SOUTH GOA,101
102,BHONGIR,102
103,BIJNOR,103
104,CHITTORGARH,104
105,NAGINA(SC),105
106,SURENDRANAGAR,106
107,JALANDHAR(SC),107
108,NANDED,108
109,BAREILLY,109
110,KOLHAPUR,110
111,ROBERTSGANJ(SC),111
112,SARGUJA(ST),112
113,HAJIPUR(SC),113
114,TIRUVANNAMALAI,114
115,VELLORE,115
116,VILUPPURAM(SC),116
117,RAJAHMUNDRY,117
118,CHITTOOR,118
119,BHILWARA,119
120,LALGANJ (SC),120
121,HOSHANGABAD,121
122,ROHTAK,122
123,AKBARPUR,123
124,SITAMARHI,124
125,ETAH,125
126,KHEDA,126
127,HATKANANGLE,127
128,CHANDRAPUR,128
129,SAMBALPUR,129
130,AZAMGARH,130
131,VALSAD(ST),131
132,SUPAUL,132
133,Darrang-Udalguri,133
134,MADHEPURA,134
135,AHMEDABAD WEST(SC),135
136,NANDYAL,136
137,BANGALORE RURAL,137
138,GUNTUR,138
139,PATIALA,139
140,JALPAIGURI(SC),140
141,LATUR(SC),141
142,KISHANGANJ,142
143,BAGHPAT,143
144,TENKASI(SC),144
145,THIRUVANANTHAPURAM,145
146,BALURGHAT,146
147,VADODARA,147
148,PALGHAR(ST),148
149,GADCHIROLI-CHIMUR(ST),149
150,SAGAR,150
151,PONNANI,151
152,PORBANDAR,152
153,DAVANAGERE,153
154,BERHAMPUR,154
155,BHANDARA-GONDIYA,155
156,HOSHIARPUR(SC),156
157,SIDHI,157
158,PRATAPGARH,158
159,BARDHAMAN PURBA(SC),159
160,CHIKBALLAPUR,160
161,NAGARKURNOOL(SC),161
162,DHANBAD,162
163,TIRUCHIRAPPALLI,163
164,BETUL(ST),164
165,JHALAWAR-BARAN,165
166,BELLARY(ST),166
167,MALAPPURAM,167
168,MALKAJGIRI,168
169,POLLACHI,169
170,MANDLA(ST),170
171,RAICHUR(ST),171
172,MUMBAI NORTH-CENTRAL,172
173,KHARGONE(ST),173
174,JODHPUR,174
175,COIMBATORE,175
176,KANCHEEPURAM(SC),176
177,SATNA,177
178,JORHAT,178
179,BANASKANTHA,179
180,BANKA,180
181,BEGUSARAI,181
182,AMALAPURAM(SC),182
183,ADILABAD(ST),183
184,KRISHNAGIRI,184
185,CHITRADURGA(SC),185
186,ARAKU(ST),186
187,SANGRUR,187
188,KHANDWA,188
189,MANDYA,189
190,MUZAFFARNAGAR,190
191,MAHESANA,191
192,TONK-SAWAI MADHOPUR,192
193,EAST DELHI,193
194,AHMEDABAD EAST,194
195,SAHARANPUR,195
196,SIKKIM,196
197,KAIRANA,197
198,MALDAHA DAKSHIN,198
199,COOCHBEHAR(SC),199
200,BELGAUM,200
201,RANAGHAT(SC),201
202,DOMARIYAGANJ,202
203,HISAR,203
204,HARDOI (SC),204
205,REWA,205
206,CHHOTA UDAIPUR(ST),206
207,DAHOD(ST),207
208,GAYA (SC),208
209,ETAWAH(SC),209
210,UDHAMPUR,210
211,PILIBHIT,211
212,SINGHBHUM(ST),212
213,KOKRAJHAR (ST),213
214,MEDINIPUR,214
215,GUNA,215
216,KORBA,216
217,ERODE,217
218,ALATHUR(SC),218
219,TIRUPPUR,219
220,ALAPPUZHA,220
221,KOPPAL,221
222,WARANGEL(SC),222
223,BARASAT,223
224,DADRA & NAGAR HAVELI (ST),224
225,CHENNAI NORTH,225
226,KHUNTI(ST),226
227,CHATRA,227
228,JHARGRAM(ST),228
229,SREERAMPUR,229
230,JALNA,230
231,Kaziranga,231
232,WEST DELHI,232
233,JANJGIR CHAMPA(SC),233
234,BANSGAON(SC),234
235,MANDI,235
236,RAMANATHAPURAM,236
237,THOOTHUKKUDI,237
238,AMROHA,238
239,KAISERGANJ,239
240,RAIGANJ,240
241,NALANDA,241
242,MALDAHA UTTAR,242
243,JANGIPUR,243
244,SRIKAKULAM,244
245,ARUNACHAL WEST,245
246,GONDA,246
247,SECUNDERABAD,247
248,AMETHI,248
249,CHELVELLA,249
250,UDUPI CHIKMAGALUR,250
251,KARIMGANJ (SC),251
252,FARIDABAD,252
253,BANDA,253
254,BAPATLA,254
255,TRIPURA EAST(ST),255
256,GANGANAGAR(SC),256
257,NALGONDA,257
258,AMBEDKAR NAGAR,258
259,NARASARAOPET,259
260,SANT KABIR NAGAR,260
261,SHEOHAR,261
262,JALORE,262
263,KOLAR(SC),263
264,CUDDALORE,264
265,TIRUPATI(SC),265
266,MEDAK,266
267,ONGOLE,267
268,DEWAS(SC),268
269,BASTAR(ST),269
270,GAUTAM BUDDHA NAGAR,270
271,RAJSAMAND,271
272,TEHRI GARHWAL,272
273,KOLKATA DAKSHIN,273
274,KALLAKURICHI,274
275,KALAHANDI,275
276,ANANDPUR SAHIB,276
277,DHARAMAPURI,277
278,VIRUDHUNAGAR,278
279,HAZARIBAGH,279
280,CHANDIGARH,280
281,JAIPUR,281
282,UDAIPUR(ST),282
283,KARNAL,283
284,SASARAM(SC),284
285,ALIPURDUARS(ST),285
286,NORTH EAST DELHI,286
287,BHARUCH,287
288,ANANTNAG,288
289,RAJAMPET,289
290,PATALIPUTRA,290
291,ANAND,291
292,LADAKH,292
293,RAMPUR,293
294,MADHA,294
295,DARBHANGA,295
296,KRISHNANAGAR,296
297,LAKSHADWEEP(ST),297
298,FARRUKHABAD,298
299,SURAT,299
300,DAUSA(ST),300
301,THANJAVUR,301
302,PUNE,302
303,MAYURBHANJ (ST),303
304,DUMKA(ST),304
305,JALAUN(SC),305
306,RATNAGIRI-SINDHUDURG,306
307,FATEHPUR,307
308,THANE,308
309,KURUKSHETRA,309
310,AONLA,310
311,AHMEDNAGAR,311
312,BHAVNAGAR,312
313,GODDA,313
314,NAGPUR,314
315,UJJARPUR,315
316,KOTA,316
317,OSMANABAD,317
318,BANGALORE CENTRAL,318
319,MAHARAJGANJ_UP,319
320,SILCHAR,320
321,RAJKOT,321
322,BARRACKPUR,322
323,BAGALKOT,323
324,DAMAN and DIU,324
325,BAHARAMPUR,325
326,BARPETA,326
327,MUMBAI NORTH,327
328,NELLORE(SC),328
329,BARDOLI(ST),329
330,LAKHIMPUR,330
331,ARARIA,331
332,BARGARH,332
333,NOWGONG,333
334,DHARWAD,334
335,SOLAPUR(SC),335
336,HOWRAH,336
337,BALASORE,337
338,BULDHANA,338
339,JOYNAGAR(SC),339
340,CHANDINI CHOWK,340
341,PHULPUR,341
342,MACHHLISHAHR(SC),342
343,WAYANAD,343
344,CHIKKODI,344
345,DUM DUM,345
346,AGRA(SC),346
347,KAUSHAMBI(SC),347
348,ELURU,348
349,MOHANLALGANJ(SC),349
350,JAJPUR(SC),350
351,HOOGHLY,351
352,PURVI CHAMPARAN,352
353,GULBARGA(SC),353
354,RAIGARH(ST),354
355,RAE BARELI,355
356,CHURU,356
357,DAMOH,357
358,MUZAFFARPUR,358
359,BANSWARA(ST),359
360,KARAKAT,360
361,NASHIK,361
362,KANGRA,362
363,GHOSI,363
364,PURNEA,364
365,KHAGARIA,365
366,JUNAGADH,366
367,SARAN,367
368,MUNGER,368
369,FATEHPUR SIKRI,369
