district_id,district_name,state_id
1,HINGOLI,1
2,BARAMULLAH,2
3,AURANGABAD_BR,3
4,TAMLUK,4
5,MURSHIDABAD,4
6,KANTHI,4
7,BADAUN,5
8,ATTINGAL,6
9,IDUKKI,6
10,NANDURBAR(ST),1
11,KOTTAYAM,6
12,GHAZIPUR,5
13,SRINAGAR,2
14,NAINITAL UDHAM SINGH NAG.,7
15,BHAGALPUR,3
16,ALMORA(SC),7
17,HAMIRPUR_UP,5
18,KANNAUJ,5
19,FIROZABAD,5
20,OUTER MANIPUR(ST),8
21,GOPALGANJ (SC),3
22,BHOPAL,9
23,WARDHA,1
24,Diphu (ST),10
25,ANANTAPUR,11
26,SHIRUR,1
27,SIKAR,12
28,LUDHIANA,13
29,DHAURAHRA,5
30,BAHRAICH(SC),5
31,KEONJHAR(ST),14
32,NILGIRIS(SC),15
33,SHILLONG,16
34,INNER MANIPUR,8
35,GARHWAL,7
36,MUMBAI SOUTH CENTRAL,1
37,RATLAM(ST),9
38,ASKA,14
39,KODARMA,17
40,HATHRAS (SC),5
41,PATHANAMTHITTA,6
42,AKOLA,1
43,JHANSI,5
44,HAMIRPUR_HP,18
45,VIZIANAGARAM,11
46,JAMUI(SC),3
47,MEERUT,5
48,PERAMBALUR,15
49,MAHABUBNAGAR,19
50,BANKURA,4
51,NIZAMABAD,19
52,MUMBAI SOUTH,1
53,HYDERABAD,19
54,JABALPUR,9
55,MISRIKH(SC),5
56,MADHUBANI,3
57,BOLPUR(SC),4
58,GHAZIABAD,5
59,BHADRAK(SC),14
60,FAIZABAD,5
61,BARDHAMAN-DURGAPUR,4
62,HINDUPUR,11
63,JAUNPUR,5
64,DHULE,1
65,ARAMBAG(SC),4
66,KENDRAPARA,14
67,BEED,1
68,NABARANGPUR(ST),14
69,MACHILIPATNAM,11
70,MAHABUBABAD,19
71,AMRAVATI(SC),1
72,BHIWANDI,1
73,NEW DELHI,20
74,MATHURAPUR(SC),4
75,HAVERI,21
76,KURNOOL,11
77,AJMER,12
78,KARAULI-DHOLPUR(SC),12
79,GWALIOR,9
80,AMRELI,22
81,PATAN,22
82,BALAGHAT,9
83,DINDORI(ST),1
84,SHIRDI(SC),1
85,KANKER(ST),23
86,BULANDSHAHR(SC),5
87,AURANGABAD_MH,1
88,NARASAPURAM,11
89,ALWAR,12
90,JAGATSINGHPUR(SC),14
91,JAMSHEDPUR,17
92,GUWAHATI,10
93,TRIPURA WEST,24
94,ANDAMAN AND NICOBAR ISLANDS,25
95,JHUNJHUNU,12
96,RAIPUR,23
97,CHHINDWARA,9
98,NAVSARI,22
99,ANAKAPALLE,11
100,DAKSHINA KANNADA,21
101,SOUTH GOA,26
102,BHONGIR,19
103,BIJNOR,5
104,CHITTORGARH,12
105,NAGINA(SC),5
106,SURENDRANAGAR,22
107,JALANDHAR(SC),13
108,NANDED,1
109,BAREILLY,5
110,KOLHAPUR,1
111,ROBERTSGANJ(SC),5
112,SARGUJA(ST),23
113,HAJIPUR(SC),3
114,TIRUVANNAMALAI,15
115,VELLORE,15
116,VILUPPURAM(SC),15
117,RAJAHMUNDRY,11
118,CHITTOOR,11
119,BHILWARA,12
120,LALGANJ (SC),5
121,HOSHANGABAD,9
122,ROHTAK,27
123,AKBARPUR,5
124,SITAMARHI,3
125,ETAH,5
126,KHEDA,22
127,HATKANANGLE,1
128,CHANDRAPUR,1
129,SAMBALPUR,14
130,AZAMGARH,5
131,VALSAD(ST),22
132,SUPAUL,3
133,Darrang-Udalguri,10
134,MADHEPURA,3
135,AHMEDABAD WEST(SC),22
136,NANDYAL,11
137,BANGALORE RURAL,21
138,GUNTUR,11
139,PATIALA,13
140,JALPAIGURI(SC),4
141,LATUR(SC),1
142,KISHANGANJ,3
143,BAGHPAT,5
144,TENKASI(SC),15
145,THIRUVANANTHAPURAM,6
146,BALURGHAT,4
147,VADODARA,22
148,PALGHAR(ST),1
149,GADCHIROLI-CHIMUR(ST),1
150,SAGAR,9
151,PONNANI,6
152,PORBANDAR,22
153,DAVANAGERE,21
154,BERHAMPUR,14
155,BHANDARA-GONDIYA,1
156,HOSHIARPUR(SC),13
157,SIDHI,9
158,PRATAPGARH,5
159,BARDHAMAN PURBA(SC),4
160,CHIKBALLAPUR,21
161,NAGARKURNOOL(SC),19
162,DHANBAD,17
163,TIRUCHIRAPPALLI,15
164,BETUL(ST),9
165,JHALAWAR-BARAN,12
166,BELLARY(ST),21
167,MALAPPURAM,6
168,MALKAJGIRI,19
169,POLLACHI,15
170,MANDLA(ST),9
171,RAICHUR(ST),21
172,MUMBAI NORTH-CENTRAL,1
173,KHARGONE(ST),9
174,JODHPUR,12
175,COIMBATORE,15
176,KANCHEEPURAM(SC),15
177,SATNA,9
178,JORHAT,10
179,BANASKANTHA,22
180,BANKA,3
181,BEGUSARAI,3
182,AMALAPURAM(SC),11
183,ADILABAD(ST),19
184,KRISHNAGIRI,15
185,CHITRADURGA(SC),21
186,ARAKU(ST),11
187,SANGRUR,13
188,KHANDWA,9
189,MANDYA,21
190,MUZAFFARNAGAR,5
191,MAHESANA,22
192,TONK-SAWAI MADHOPUR,12
193,EAST DELHI,20
194,AHMEDABAD EAST,22
195,SAHARANPUR,5
196,SIKKIM,28
197,KAIRANA,5
198,MALDAHA DAKSHIN,4
199,COOCHBEHAR(SC),4
200,BELGAUM,21
201,RANAGHAT(SC),4
202,DOMARIYAGANJ,5
203,HISAR,27
204,HARDOI (SC),5
205,REWA,9
206,CHHOTA UDAIPUR(ST),22
207,DAHOD(ST),22
208,GAYA (SC),3
209,ETAWAH(SC),5
210,UDHAMPUR,2
211,PILIBHIT,5
212,SINGHBHUM(ST),17
213,KOKRAJHAR (ST),10
214,MEDINIPUR,4
215,GUNA,9
216,KORBA,23
217,ERODE,15
218,ALATHUR(SC),6
219,TIRUPPUR,15
220,ALAPPUZHA,6
221,KOPPAL,21
222,WARANGEL(SC),19
223,BARASAT,4
224,DADRA & NAGAR HAVELI (ST),29
225,CHENNAI NORTH,15
226,KHUNTI(ST),17
227,CHATRA,17
228,JHARGRAM(ST),4
229,SREERAMPUR,4
230,JALNA,1
231,Kaziranga,10
232,WEST DELHI,20
233,JANJGIR CHAMPA(SC),23
234,BANSGAON(SC),5
235,MANDI,18
236,RAMANATHAPURAM,15
237,THOOTHUKKUDI,15
238,AMROHA,5
239,KAISERGANJ,5
240,RAIGANJ,4
241,NALANDA,3
242,MALDAHA UTTAR,4
243,JANGIPUR,4
244,SRIKAKULAM,11
245,ARUNACHAL WEST,30
246,GONDA,5
247,SECUNDERABAD,19
248,AMETHI,5
249,CHELVELLA,19
250,UDUPI CHIKMAGALUR,21
251,KARIMGANJ (SC),10
252,FARIDABAD,27
253,BANDA,5
254,BAPATLA,11
255,TRIPURA EAST(ST),24
256,GANGANAGAR(SC),12
257,NALGONDA,19
258,AMBEDKAR NAGAR,5
259,NARASARAOPET,11
260,SANT KABIR NAGAR,5
261,SHEOHAR,3
262,JALORE,12
263,KOLAR(SC),21
264,CUDDALORE,15
265,TIRUPATI(SC),11
266,MEDAK,19
267,ONGOLE,11
268,DEWAS(SC),9
269,BASTAR(ST),23
270,GAUTAM BUDDHA NAGAR,5
271,RAJSAMAND,12
272,TEHRI GARHWAL,7
273,KOLKATA DAKSHIN,4
274,KALLAKURICHI,15
275,KALAHANDI,14
276,ANANDPUR SAHIB,13
277,DHARAMAPURI,15
278,VIRUDHUNAGAR,15
279,HAZARIBAGH,17
280,CHANDIGARH,31
281,JAIPUR,12
282,UDAIPUR(ST),12
283,KARNAL,27
284,SASARAM(SC),3
285,ALIPURDUARS(ST),4
286,NORTH EAST DELHI,20
287,BHARUCH,22
288,ANANTNAG,2
289,RAJAMPET,11
290,PATALIPUTRA,3
291,ANAND,22
292,LADAKH,32
293,RAMPUR,5
294,MADHA,1
295,DARBHANGA,3
296,KRISHNANAGAR,4
297,LAKSHADWEEP(ST),33
298,FARRUKHABAD,5
299,SURAT,22
300,DAUSA(ST),12
301,THANJAVUR,15
302,PUNE,1
303,MAYURBHANJ (ST),14
304,DUMKA(ST),17
305,JALAUN(SC),5
306,RATNAGIRI-SINDHUDURG,1
307,FATEHPUR,5
308,THANE,1
309,KURUKSHETRA,27
310,AONLA,5
311,AHMEDNAGAR,1
312,BHAVNAGAR,22
313,GODDA,17
314,NAGPUR,1
315,UJJARPUR,3
316,KOTA,12
317,OSMANABAD,1
318,BANGALORE CENTRAL,21
319,MAHARAJGANJ_UP,5
320,SILCHAR,10
321,RAJKOT,22
322,BARRACKPUR,4
323,BAGALKOT,21
324,DAMAN and DIU,29
325,BAHARAMPUR,4
326,BARPETA,10
327,MUMBAI NORTH,1
328,NELLORE(SC),11
329,BARDOLI(ST),22
330,LAKHIMPUR,10
331,ARARIA,3
332,BARGARH,14
333,NOWGONG,10
334,DHARWAD,21
335,SOLAPUR(SC),1
336,HOWRAH,4
337,BALASORE,14
338,BULDHANA,1
339,JOYNAGAR(SC),4
340,CHANDINI CHOWK,20
341,PHULPUR,5
342,MACHHLISHAHR(SC),5
343,WAYANAD,6
344,CHIKKODI,21
345,DUM DUM,4
346,AGRA(SC),5
347,KAUSHAMBI(SC),5
348,ELURU,11
349,MOHANLALGANJ(SC),5
350,JAJPUR(SC),14
351,HOOGHLY,4
352,PURVI CHAMPARAN,3
353,GULBARGA(SC),21
354,RAIGARH(ST),23
355,RAE BARELI,5
356,CHURU,12
357,DAMOH,9
358,MUZAFFARPUR,3
359,BANSWARA(ST),12
360,KARAKAT,3
361,NASHIK,1
362,KANGRA,18
363,GHOSI,5
364,PURNEA,3
365,KHAGARIA,3
366,JUNAGADH,22
367,SARAN,3
368,MUNGER,3
369,FATEHPUR SIKRI,5
