expenditure_id,project_id,transaction_ref,amount,date,expenditure_type,status,source
1,PRJ-2026-0001,TXN-241385,23401538.45,2024-05-26,CIVIL_WORK,CLEARED,PFMS_MOCK
2,PRJ-2026-0001,TXN-767904,23401538.45,2024-06-25,CIVIL_WORK,CLEARED,PFMS_MOCK
3,PRJ-2026-0003,TXN-146080,20870731.96,2024-05-29,CIVIL_WORK,CLEARED,PFMS_MOCK
4,PRJ-2026-0004,TXN-790127,19148061.65,2024-04-23,CIVIL_WORK,CLEARED,PFMS_MOCK
5,PRJ-2026-0004,TXN-982842,19148061.65,2024-05-23,CIVIL_WORK,CLEARED,PFMS_MOCK
6,PRJ-2026-0004,TXN-934523,19148061.65,2024-06-22,CIVIL_WORK,CLEARED,PFMS_MOCK
7,PRJ-2026-0006,TXN-230052,14413373.57,2024-06-07,CIVIL_WORK,CLEARED,PFMS_MOCK
8,PRJ-2026-0006,TXN-981541,14413373.57,2024-07-07,CIVIL_WORK,CLEARED,PFMS_MOCK
9,PRJ-2026-0007,TXN-590582,26393144.25,2024-03-06,CIVIL_WORK,CLEARED,PFMS_MOCK
10,PRJ-2026-0007,TXN-259941,26393144.25,2024-04-05,CIVIL_WORK,CLEARED,PFMS_MOCK
11,PRJ-2026-0007,TXN-201650,26393144.25,2024-05-05,CIVIL_WORK,CLEARED,PFMS_MOCK
12,PRJ-2026-0010,TXN-680572,3862983.83,2024-04-17,CIVIL_WORK,CLEARED,PFMS_MOCK
13,PRJ-2026-0010,TXN-722168,3862983.83,2024-05-17,CIVIL_WORK,CLEARED,PFMS_MOCK
14,PRJ-2026-0011,TXN-215186,32378666.86,2024-06-10,CIVIL_WORK,CLEARED,PFMS_MOCK
15,PRJ-2026-0011,TXN-616107,32378666.86,2024-07-10,CIVIL_WORK,CLEARED,PFMS_MOCK
16,PRJ-2026-0011,TXN-352446,32378666.86,2024-08-09,CIVIL_WORK,CLEARED,PFMS_MOCK
17,PRJ-2026-0014,TXN-743902,8183161.1,2024-03-14,CIVIL_WORK,CLEARED,PFMS_MOCK
18,PRJ-2026-0015,TXN-235346,3250745.54,2024-03-24,CIVIL_WORK,CLEARED,PFMS_MOCK
19,PRJ-2026-0015,TXN-965384,3250745.54,2024-04-23,CIVIL_WORK,CLEARED,PFMS_MOCK
20,PRJ-2026-0016,TXN-813664,2523381.06,2024-04-28,CIVIL_WORK,CLEARED,PFMS_MOCK
21,PRJ-2026-0016,TXN-839460,2523381.06,2024-05-28,CIVIL_WORK,CLEARED,PFMS_MOCK
22,PRJ-2026-0016,TXN-426009,2523381.06,2024-06-27,CIVIL_WORK,CLEARED,PFMS_MOCK
23,PRJ-2026-0018,TXN-642776,20333692.05,2024-06-03,CIVIL_WORK,CLEARED,PFMS_MOCK
24,PRJ-2026-0018,TXN-847918,20333692.05,2024-07-03,CIVIL_WORK,CLEARED,PFMS_MOCK
25,PRJ-2026-0018,TXN-749302,20333692.05,2024-08-02,CIVIL_WORK,CLEARED,PFMS_MOCK
26,PRJ-2026-0019,TXN-966145,24836405.14,2024-03-26,CIVIL_WORK,CLEARED,PFMS_MOCK
27,PRJ-2026-0019,TXN-828253,24836405.14,2024-04-25,CIVIL_WORK,CLEARED,PFMS_MOCK
28,PRJ-2026-0019,TXN-100084,24836405.14,2024-05-25,CIVIL_WORK,CLEARED,PFMS_MOCK
29,PRJ-2026-0020,TXN-911370,34157632.76,2024-04-06,CIVIL_WORK,CLEARED,PFMS_MOCK
30,PRJ-2026-0021,TXN-209207,13247936.51,2024-05-01,CIVIL_WORK,CLEARED,PFMS_MOCK
31,PRJ-2026-0021,TXN-323519,13247936.51,2024-05-31,CIVIL_WORK,CLEARED,PFMS_MOCK
32,PRJ-2026-0021,TXN-639722,13247936.51,2024-06-30,CIVIL_WORK,CLEARED,PFMS_MOCK
33,PRJ-2026-0023,TXN-269805,10465571.2,2024-06-01,CIVIL_WORK,CLEARED,PFMS_MOCK
34,PRJ-2026-0023,TXN-410753,10465571.2,2024-07-01,CIVIL_WORK,CLEARED,PFMS_MOCK
35,PRJ-2026-0025,TXN-139757,27225128.61,2024-05-13,CIVIL_WORK,CLEARED,PFMS_MOCK
36,PRJ-2026-0025,TXN-510892,27225128.61,2024-06-12,CIVIL_WORK,CLEARED,PFMS_MOCK
37,PRJ-2026-0026,TXN-272306,87922255.65,2024-03-19,CIVIL_WORK,CLEARED,PFMS_MOCK
38,PRJ-2026-0028,TXN-890539,18371058.91,2024-06-03,CIVIL_WORK,CLEARED,PFMS_MOCK
39,PRJ-2026-0028,TXN-412599,18371058.91,2024-07-03,CIVIL_WORK,CLEARED,PFMS_MOCK
40,PRJ-2026-0028,TXN-577372,18371058.91,2024-08-02,CIVIL_WORK,CLEARED,PFMS_MOCK
41,PRJ-2026-0031,TXN-726987,26430505.16,2024-05-11,CIVIL_WORK,CLEARED,PFMS_MOCK
42,PRJ-2026-0031,TXN-384078,26430505.16,2024-06-10,CIVIL_WORK,CLEARED,PFMS_MOCK
43,PRJ-2026-0032,TXN-538315,31379663.22,2024-03-02,CIVIL_WORK,CLEARED,PFMS_MOCK
44,PRJ-2026-0032,TXN-347278,31379663.22,2024-04-01,CIVIL_WORK,CLEARED,PFMS_MOCK
45,PRJ-2026-0032,TXN-776666,31379663.22,2024-05-01,CIVIL_WORK,CLEARED,PFMS_MOCK
46,PRJ-2026-0033,TXN-172974,9563224.02,2024-02-25,CIVIL_WORK,CLEARED,PFMS_MOCK
47,PRJ-2026-0033,TXN-143516,9563224.02,2024-03-26,CIVIL_WORK,CLEARED,PFMS_MOCK
48,PRJ-2026-0033,TXN-867282,9563224.02,2024-04-25,CIVIL_WORK,CLEARED,PFMS_MOCK
49,PRJ-2026-0034,TXN-641432,63454762.13,2024-03-14,CIVIL_WORK,CLEARED,PFMS_MOCK
50,PRJ-2026-0037,TXN-596120,6712563.93,2024-03-25,CIVIL_WORK,CLEARED,PFMS_MOCK
51,PRJ-2026-0037,TXN-815824,6712563.93,2024-04-24,CIVIL_WORK,CLEARED,PFMS_MOCK
52,PRJ-2026-0038,TXN-394452,33652913.75,2024-06-01,CIVIL_WORK,CLEARED,PFMS_MOCK
53,PRJ-2026-0038,TXN-355204,33652913.75,2024-07-01,CIVIL_WORK,CLEARED,PFMS_MOCK
54,PRJ-2026-0040,TXN-320850,3901507.96,2024-04-26,CIVIL_WORK,CLEARED,PFMS_MOCK
55,PRJ-2026-0040,TXN-816941,3901507.96,2024-05-26,CIVIL_WORK,CLEARED,PFMS_MOCK
56,PRJ-2026-0040,TXN-709607,3901507.96,2024-06-25,CIVIL_WORK,CLEARED,PFMS_MOCK
57,PRJ-2026-0041,TXN-694500,26712789.81,2024-05-19,CIVIL_WORK,CLEARED,PFMS_MOCK
58,PRJ-2026-0041,TXN-860131,26712789.81,2024-06-18,CIVIL_WORK,CLEARED,PFMS_MOCK
59,PRJ-2026-0042,TXN-883863,4742351.62,2024-05-02,CIVIL_WORK,CLEARED,PFMS_MOCK
60,PRJ-2026-0042,TXN-591269,4742351.62,2024-06-01,CIVIL_WORK,CLEARED,PFMS_MOCK
61,PRJ-2026-0042,TXN-550277,4742351.62,2024-07-01,CIVIL_WORK,CLEARED,PFMS_MOCK
62,PRJ-2026-0044,TXN-134887,12145440.68,2024-03-13,CIVIL_WORK,CLEARED,PFMS_MOCK
63,PRJ-2026-0044,TXN-559237,12145440.68,2024-04-12,CIVIL_WORK,CLEARED,PFMS_MOCK
64,PRJ-2026-0045,TXN-334954,42024704.52,2024-06-08,CIVIL_WORK,CLEARED,PFMS_MOCK
65,PRJ-2026-0048,TXN-287593,4246223.52,2024-05-11,CIVIL_WORK,CLEARED,PFMS_MOCK
66,PRJ-2026-0048,TXN-827530,4246223.52,2024-06-10,CIVIL_WORK,CLEARED,PFMS_MOCK
67,PRJ-2026-0049,TXN-560667,32874472.69,2024-05-11,CIVIL_WORK,CLEARED,PFMS_MOCK
