mp_id,name,constituency_id,state_id,parliamentary_house,active_period
1,AASHTIKAR PATIL NAGESH BAPURAO,1,1,Lok Sabha,2024-2029
2,ABDUL RASHID SHEIKH,2,2,Lok Sabha,2024-2029
3,ABHAY KUMAR SINHA,3,3,Lok Sabha,2024-2029
4,ABHIJIT GANGOPADHYAY,4,4,Lok Sabha,2024-2029
5,Abu Taher Khan,5,4,Lok Sabha,2024-2029
6,ADHIKARI SOUMENDU,6,4,Lok Sabha,2024-2029
7,ADITYA YADAV,7,5,Lok Sabha,2024-2029
8,Adv Adoor Prakash,8,6,Lok Sabha,2024-2029
9,Adv Dean Kuriakose,9,6,Lok Sabha,2024-2029
10,ADV GOWAAL KAGADA PADAVI,10,1,Lok Sabha,2024-2029
11,ADV K FRANCIS GEORGE,11,6,Lok Sabha,2024-2029
12,AFZAL ANSARI,12,5,Lok Sabha,2024-2029
13,AGA SYED RUHULLAH MEHDI,13,2,Lok Sabha,2024-2029
14,Ajay Bhatt,14,7,Lok Sabha,2024-2029
15,Ajay Kumar Mandal,15,3,Lok Sabha,2024-2029
16,Ajay Tamta,16,7,Lok Sabha,2024-2029
17,AJENDRA SINGH LODHI,17,5,Lok Sabha,2024-2029
18,AKHILESH YADAV,18,5,Lok Sabha,2024-2029
19,AKSHAYA YADAV,19,5,Lok Sabha,2024-2029
20,ALFRED KANNGAM S ARTHUR,20,8,Lok Sabha,2024-2029
21,Alok Kumar Suman,21,3,Lok Sabha,2024-2029
22,ALOK SHARMA,22,9,Lok Sabha,2024-2029
23,AMAR SHARADRAO KALE,23,1,Lok Sabha,2024-2029
24,AMARSING TISSO,24,10,Lok Sabha,2024-2029
25,AMBICA G LAKSHMINARAYANA VALMIKI,25,11,Lok Sabha,2024-2029
26,Amol Ramsing Kolhe,26,1,Lok Sabha,2024-2029
27,AMRARAM,27,12,Lok Sabha,2024-2029
28,AMRINDER SINGH RAJA WARRING,28,13,Lok Sabha,2024-2029
29,ANAND BHADAURIYA,29,5,Lok Sabha,2024-2029
30,ANAND KUMAR,30,5,Lok Sabha,2024-2029
31,ANANTA NAYAK,31,14,Lok Sabha,2024-2029
32,Andimuthu Raja,32,15,Lok Sabha,2024-2029
33,ANDREW J. SYNGKON,33,16,Lok Sabha,2024-2029
34,ANGOMCHA BIMOL AKOIJAM,34,8,Lok Sabha,2024-2029
35,ANIL BALUNI,35,7,Lok Sabha,2024-2029
36,ANIL YESHWANT DESAI,36,1,Lok Sabha,2024-2029
37,ANITA NAGARSINGH CHOUHAN,37,9,Lok Sabha,2024-2029
38,ANITA SUBHADARSHINI,38,14,Lok Sabha,2024-2029
39,Annpurna Devi,39,17,Lok Sabha,2024-2029
40,ANOOP PRADHAN BALMIKI,40,5,Lok Sabha,2024-2029
41,Anto Antony,41,6,Lok Sabha,2024-2029
42,ANUP SANJAY DHOTRE,42,1,Lok Sabha,2024-2029
43,Anurag Sharma,43,5,Lok Sabha,2024-2029
44,Anurag Singh Thakur,44,18,Lok Sabha,2024-2029
45,Appalanaidu Kalisetti,45,11,Lok Sabha,2024-2029
46,ARUN BHARTI,46,3,Lok Sabha,2024-2029
