project_id,project_title,description,mp_id,constituency_id,state_id,district_id,agency_id,category,sanctioned_amount,cost_estimate,released_amount,expenditure,project_status,sanction_date,start_date,expected_completion_date,actual_completion_date,progress_percentage,latitude,longitude,data_source
PRJ-2026-0001,Healthcare Work 2,Construction and development of healthcare facilities.,1,1,1,1,1,Healthcare,110042031.62,110042031.62,77029422.134,46803076.89,stalled,2024-04-02,2024-04-26,2025-04-02,,60.76,27.3684,79.173,REAL_MPLADS
PRJ-2026-0002,Healthcare Work 3,Construction and development of healthcare facilities.,1,1,1,1,1,Healthcare,80247410.38,80247410.38,0.0,0.0,recommended,2024-02-20,,2025-02-19,,0.0,19.1604,73.0849,REAL_MPLADS
PRJ-2026-0003,Water & Sanitation Work 4,Construction and development of water & sanitation facilities.,2,2,2,2,2,Water & Sanitation,68391239.1,68391239.1,47873867.36999999,20870731.96,ongoing,2024-04-02,2024-04-29,2025-04-02,,45.95,23.4647,76.0138,REAL_MPLADS
PRJ-2026-0004,Roads & Pathways Work 5,Construction and development of roads & pathways facilities.,2,2,2,2,2,Roads & Pathways,86382233.01000002,86382233.01000002,60467563.10700001,57444184.95,ongoing,2024-02-25,2024-03-24,2025-02-24,,5.32,20.9338,75.6745,REAL_MPLADS
PRJ-2026-0005,Infrastructure Work 6,Construction and development of infrastructure facilities.,3,3,3,3,3,Infrastructure,95618580.88,95618580.88,0.0,0.0,recommended,2024-04-03,,2025-04-03,,0.0,17.2358,76.7739,REAL_MPLADS
PRJ-2026-0006,Roads & Pathways Work 7,Construction and development of roads & pathways facilities.,3,3,3,3,3,Roads & Pathways,51381419.120000005,51381419.120000005,35966993.384,28826747.15,ongoing,2024-04-18,2024-05-08,2025-04-18,,73.88,26.7617,75.6225,REAL_MPLADS
PRJ-2026-0007,Healthcare Work 8,Construction and development of healthcare facilities.,4,4,4,4,4,Healthcare,79179432.74,79179432.74,79179432.74,79179432.74,completed,2024-01-23,2024-02-05,2025-01-22,2024-08-23,100.0,25.6163,72.2532,REAL_MPLADS
PRJ-2026-0008,Infrastructure Work 9,Construction and development of infrastructure facilities.,4,4,4,4,4,Infrastructure,67820567.26,67820567.26,0.0,0.0,sanctioned,2024-02-14,2024-02-28,2025-02-13,,0.0,25.3197,83.5948,REAL_MPLADS
PRJ-2026-0009,Water & Sanitation Work 10,Construction and development of water & sanitation facilities.,5,5,4,5,5,Water & Sanitation,63826701.99,63826701.99,0.0,0.0,sanctioned,2024-01-18,2024-02-13,2025-01-17,,0.0,23.855,78.1542,REAL_MPLADS
PRJ-2026-0010,Water & Sanitation Work 11,Construction and development of water & sanitation facilities.,5,5,4,5,5,Water & Sanitation,83173298.00999999,83173298.00999999,58221308.60699999,7725967.65,stalled,2024-03-04,2024-03-18,2025-03-04,,13.27,27.8812,77.4614,REAL_MPLADS
PRJ-2026-0011,Healthcare Work 12,Construction and development of healthcare facilities.,6,6,4,6,6,Healthcare,97136000.59,97136000.59,97136000.59,97136000.59,completed,2024-04-13,2024-05-11,2025-04-13,2024-11-27,100.0,26.0116,84.1514,REAL_MPLADS
PRJ-2026-0012,Roads & Pathways Work 13,Construction and development of roads & pathways facilities.,6,6,4,6,6,Roads & Pathways,49863999.41,49863999.41,0.0,0.0,recommended,2024-02-25,,2025-02-24,,0.0,17.3591,82.3022,REAL_MPLADS
PRJ-2026-0013,Roads & Pathways Work 14,Construction and development of roads & pathways facilities.,7,7,5,7,7,Roads & Pathways,93448785.45,93448785.45,0.0,0.0,sanctioned,2024-01-30,2024-02-21,2025-01-29,,0.0,20.7748,87.5899,REAL_MPLADS
PRJ-2026-0014,Education Work 15,Construction and development of education facilities.,7,7,5,7,7,Education,53551214.55,53551214.55,37485850.184999995,8183161.1,stalled,2024-01-15,2024-02-13,2025-01-14,,21.83,17.3663,79.7172,REAL_MPLADS
PRJ-2026-0015,Water & Sanitation Work 16,Construction and development of water & sanitation facilities.,8,8,6,8,8,Water & Sanitation,69885962.45,69885962.45,48920173.714999996,6501491.09,stalled,2024-02-12,2024-02-23,2025-02-11,,13.29,22.2422,81.0005,REAL_MPLADS
PRJ-2026-0016,Education Work 17,Construction and development of education facilities.,8,8,6,8,8,Education,81434414.66000001,81434414.66000001,57004090.262,7570143.19,stalled,2024-03-04,2024-03-29,2025-03-04,,13.28,26.2027,83.0281,REAL_MPLADS
