Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,released_amount_imputed
0,WE10551,Howrah Constituency,Howrah,West Bengal,1500000,0.0,0.0,recommended,545,2023-06-14,2024-12-10,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
1,BI09187,Gaya Constituency,Gaya,Bihar,1000000,1000000.0,871520.46,sanctioned,90,2024-05-20,2024-08-18,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
3,TA09768,Madurai Constituency,Madurai,Tamil Nadu,1500000,1500000.0,655472.8,sanctioned,90,2024-09-18,2024-12-17,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
4,UT10259,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,500000.0,414218.15,sanctioned,730,2024-06-04,2026-06-04,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
6,TA09325,Madurai Constituency,Madurai,Tamil Nadu,1500000,1050000.0,970091.21,stalled,545,2023-04-15,2024-10-11,,Rural Dev Dept,road,67.9,synthetic,sample_projects_synthetic.csv,True
7,MA09063,Nagpur Constituency,Nagpur,Maharashtra,1500000,750000.0,439988.08,completed,90,2023-05-11,2023-08-09,2023-07-11,PWD,road,100.0,synthetic,sample_projects_synthetic.csv,False
8,BI09365,Gaya Constituency,Gaya,Bihar,750000,525000.0,370882.89,ongoing,270,2023-10-20,2024-07-16,,PWD,drinking water,34.4,synthetic,sample_projects_synthetic.csv,True
10,RA10207,Jaipur Constituency,Jaipur,Rajasthan,300000,300000.0,166696.59,completed,365,2024-05-14,2025-05-14,2025-09-24,Jal Nigam,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
12,WE09215,Howrah Constituency,Howrah,West Bengal,750000,750000.0,735653.64,ongoing,730,2024-03-05,2026-03-05,,Zilla Parishad,drinking water,40.6,synthetic,sample_projects_synthetic.csv,False
13,KA09620,Belagavi Constituency,Belagavi,Karnataka,300000,300000.0,211282.21,stalled,365,2024-03-22,2025-03-22,,Jal Nigam,electricity,67.5,synthetic,sample_projects_synthetic.csv,False
15,WE09382,Howrah Constituency,Howrah,West Bengal,2000000,2000000.0,1226351.87,completed,270,2023-06-18,2024-03-14,2024-04-21,PWD,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
16,RA09509,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,2000000.0,1034102.31,ongoing,90,2024-06-09,2024-09-07,,Rural Dev Dept,drinking water,55.8,synthetic,sample_projects_synthetic.csv,False
17,BI09074,Patna Constituency,Patna,Bihar,500000,250000.0,146129.78,sanctioned,180,2024-09-08,2025-03-07,,PWD,community hall,,synthetic,sample_projects_synthetic.csv,False
18,KA10394,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,200000,200000.0,106883.05,sanctioned,730,2023-10-15,2025-10-14,,PWD,road,,synthetic,sample_projects_synthetic.csv,False
