project_id,constituency,district,mp_name,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,released_amount_imputed
PU08001,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,2000000.0,2000000.0,678631.94,completed,180.0,2023-07-20,2024-01-16,2024-06-07,Jal Nigam,electricity,100.0,False
TA08002,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,200000.0,200000.0,145575.38,stalled,180.0,2023-09-01,2024-02-28,,Zilla Parishad,electricity,35.0,False
TA08003,Chennai Constituency,Chennai,Meena Verma,Tamil Nadu,1500000.0,1500000.0,2041928.64,ongoing,365.0,2024-11-03,2025-11-03,,Jal Nigam,electricity,31.6,False
MA08004,Pune Constituency,Pune,Ramesh Patel,Maharashtra,1000000.0,500000.0,1371604.15,stalled,730.0,2023-04-13,2025-04-12,,Zilla Parishad,road,11.2,False
UT08005,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,500000.0,500000.0,233226.52,stalled,730.0,2023-07-22,2025-07-21,,Rural Dev Dept,drinking water,36.3,False
UT08006,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,1000000.0,1000000.0,729288.53,ongoing,180.0,2023-12-24,2024-06-21,,Jal Nigam,community hall,77.4,False
PU08007,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,1500000.0,750000.0,690445.02,ongoing,180.0,2024-07-23,2025-01-19,,Zilla Parishad,community hall,19.4,False
UT08008,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,200000.0,0.0,0.0,recommended,730.0,2024-05-31,2026-05-31,,Rural Dev Dept,road,,False
UT08009,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,500000.0,500000.0,255798.33,ongoing,730.0,2024-05-26,2026-05-26,,Zilla Parishad,community hall,65.6,False
BI08010,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,2500000.0,1250000.0,943715.2,sanctioned,90.0,2023-06-26,2023-09-24,,Jal Nigam,irrigation,,False
RA08011,Jaipur Constituency,Jaipur,Kavita Verma,Rajasthan,500000.0,0.0,0.0,recommended,90.0,2023-07-12,2023-10-10,,Zilla Parishad,irrigation,,False
AN08012,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,200000.0,100000.0,263112.51,stalled,365.0,2024-01-28,2025-01-27,,PWD,drinking water,28.8,False
TA08013,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,2500000.0,2500000.0,2124235.28,stalled,270.0,2024-03-13,2024-12-08,,Jal Nigam,community hall,13.2,False
BI08014,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,300000.0,300000.0,397954.28,ongoing,545.0,2023-08-28,2025-02-23,,PWD,irrigation,13.6,False
UT08015,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,2000000.0,2000000.0,1034867.26,stalled,545.0,2024-05-14,2025-11-10,,PWD,community hall,13.7,False
WE08016,Kolkata Constituency,Kolkata,Priya Singh,West Bengal,2500000.0,2500000.0,2432755.12,ongoing,545.0,2023-05-02,2024-10-28,,Rural Dev Dept,irrigation,64.0,False
MA08017,Pune Constituency,Pune,Ramesh Patel,Maharashtra,300000.0,300000.0,177742.42,stalled,270.0,2023-08-14,2024-05-10,,PWD,community hall,21.3,False
PU08018,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,750000.0,750000.0,528901.06,stalled,270.0,2023-09-01,2024-05-28,,Rural Dev Dept,irrigation,13.0,False
KA08019,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,750000.0,750000.0,457534.23,stalled,180.0,2023-06-11,2023-12-08,,Rural Dev Dept,electricity,29.5,False
UT08020,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,1500000.0,750000.0,1774123.18,sanctioned,730.0,2024-02-10,2026-02-09,,Jal Nigam,school,,False
BI08021,Gaya Constituency,Gaya,Arjun Sharma,Bihar,300000.0,300000.0,232355.14,ongoing,545.0,2024-04-06,2025-10-03,,Rural Dev Dept,school,20.7,False
WE08022,Kolkata Constituency,Kolkata,Priya Singh,West Bengal,2000000.0,2000000.0,1539299.88,ongoing,180.0,2023-09-24,2024-03-22,,Rural Dev Dept,sanitation,28.1,False
RA08023,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,750000.0,375000.0,298889.18,ongoing,730.0,2024-06-14,2026-06-14,,PWD,school,87.7,False
