project_id,constituency,district,mp_name,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,released_amount_imputed
WE03001,Howrah Constituency,Howrah,Meena Singh,West Bengal,750000.0,750000.0,1183494.23,stalled,270.0,2024-04-23,2025-01-18,,Rural Dev Dept,sanitation,26.1,False
KE03002,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,750000.0,750000.0,271653.37,ongoing,90.0,2023-09-19,2023-12-18,,Rural Dev Dept,drinking water,75.4,False
MA03003,Pune Constituency,Pune,Sunita Reddy,Maharashtra,1500000.0,1500000.0,2321337.67,ongoing,365.0,2023-08-02,2024-08-01,,Rural Dev Dept,irrigation,28.0,False
KA03004,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,2000000.0,1000000.0,592904.9,completed,365.0,2023-03-20,2024-03-19,2024-05-31,Jal Nigam,drinking water,100.0,False
WE03005,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,300000.0,150000.0,488924.67,ongoing,270.0,2024-01-04,2024-09-30,,PWD,sanitation,23.0,False
BI03006,Muzaffarpur Constituency,Muzaffarpur,Priya Nair,Bihar,1000000.0,0.0,0.0,recommended,180.0,2024-02-19,2024-08-17,,Rural Dev Dept,irrigation,,False
WE03007,Howrah Constituency,Howrah,Meena Singh,West Bengal,2500000.0,2500000.0,1946048.94,sanctioned,270.0,2023-07-05,2024-03-31,,PWD,road,,False
AN03008,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,200000.0,200000.0,154615.66,completed,730.0,2024-03-28,2026-03-28,2026-09-28,Jal Nigam,electricity,100.0,False
RA03009,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,500000.0,250000.0,244524.44,completed,730.0,2024-07-14,2026-07-14,2026-10-06,PWD,drinking water,100.0,False
UT03010,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1500000.0,750000.0,408946.67,ongoing,545.0,2024-07-17,2026-01-13,,Rural Dev Dept,irrigation,14.9,False
UT03011,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,300000.0,150000.0,56780.23,ongoing,270.0,2024-04-22,2025-01-17,,Rural Dev Dept,drinking water,93.4,False
BI03012,Patna Constituency,Patna,Arjun Verma,Bihar,1000000.0,500000.0,364547.56,completed,90.0,2023-01-15,2023-04-15,2023-08-25,PWD,electricity,100.0,False
UT03013,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,750000.0,750000.0,390565.37,completed,730.0,2023-07-20,2025-07-19,2025-11-07,PWD,drinking water,100.0,False
UT03014,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1500000.0,1500000.0,992171.17,completed,365.0,2024-10-15,2025-10-15,2025-09-28,Zilla Parishad,drinking water,100.0,False
KE03015,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,300000.0,150000.0,114834.86,sanctioned,270.0,2023-01-25,2023-10-22,,Rural Dev Dept,community hall,,False
KE03016,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,750000.0,750000.0,383089.32,sanctioned,545.0,2023-11-22,2025-05-20,,Rural Dev Dept,drinking water,,False
TA03017,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,750000.0,750000.0,1495422.11,ongoing,90.0,2023-09-09,2023-12-08,,Jal Nigam,sanitation,72.9,False
KE03018,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,200000.0,200000.0,125122.3,ongoing,180.0,2023-02-04,2023-08-03,,PWD,road,93.6,False
TA03019,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,2500000.0,2500000.0,1862631.78,completed,180.0,2024-05-14,2024-11-10,2025-04-20,PWD,irrigation,100.0,False
KA03020,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,300000.0,300000.0,120828.45,completed,365.0,2023-12-14,2024-12-13,2025-03-26,Jal Nigam,road,100.0,False
KA03021,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,200000.0,100000.0,269497.6,ongoing,730.0,2024-06-28,2026-06-28,,Zilla Parishad,drinking water,26.3,False
OD03022,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,750000.0,375000.0,321040.52,ongoing,180.0,2024-06-12,2024-12-09,,Zilla Parishad,road,68.1,False
WE03023,Howrah Constituency,Howrah,Meena Singh,West Bengal,200000.0,200000.0,187065.92,ongoing,180.0,2024-08-13,2025-02-09,,PWD,sanitation,19.3,False
RA03024,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,300000.0,300000.0,519564.49,stalled,180.0,2023-03-03,2023-08-30,,PWD,school,7.2,False
UT03025,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,750000.0,750000.0,643300.59,sanctioned,730.0,2024-07-25,2026-07-25,,Rural Dev Dept,irrigation,,False
AN03026,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,750000.0,375000.0,152184.35,ongoing,365.0,2023-09-07,2024-09-06,,Jal Nigam,sanitation,24.0,False
KA03027,Bengaluru Urban Constituency,Bengaluru Urban,Kavita Rao,Karnataka,1000000.0,500000.0,242410.91,completed,270.0,2023-02-09,2023-11-06,2023-12-03,Jal Nigam,drinking water,100.0,False
KA03028,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,1500000.0,1500000.0,925964.11,completed,545.0,2023-09-28,2025-03-26,2025-09-29,Rural Dev Dept,road,100.0,False
BI03029,Muzaffarpur Constituency,Muzaffarpur,Priya Nair,Bihar,200000.0,100000.0,46224.74,ongoing,365.0,2023-02-14,2024-02-14,,Jal Nigam,sanitation,42.3,False
BI03030,Patna Constituency,Patna,Arjun Verma,Bihar,500000.0,500000.0,489801.62,ongoing,730.0,2024-03-24,2026-03-24,,Rural Dev Dept,electricity,71.9,False
TA03031,Chennai Constituency,Chennai,Manoj Rao,Tamil Nadu,500000.0,500000.0,297166.89,completed,730.0,2024-05-14,2026-05-14,2026-06-29,PWD,road,100.0,False
MA03032,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,300000.0,150000.0,84154.74,completed,730.0,2024-05-16,2026-05-16,2026-06-28,Rural Dev Dept,drinking water,100.0,False
UT03033,Kanpur Nagar Constituency,Kanpur Nagar,Kavita Nair,Uttar Pradesh,2500000.0,1250000.0,918705.64,ongoing,365.0,2023-03-07,2024-03-06,,PWD,irrigation,50.9,False
TA03034,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,1000000.0,1000000.0,463581.51,stalled,180.0,2023-03-20,2023-09-16,,Jal Nigam,irrigation,31.4,False
TA03035,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,500000.0,250000.0,647370.71,stalled,270.0,2024-08-21,2025-05-18,,Zilla Parishad,community hall,33.7,False
BI03036,Gaya Constituency,Gaya,Lakshmi Kumar,Bihar,1000000.0,1000000.0,811896.59,ongoing,730.0,2023-09-10,2025-09-09,,Zilla Parishad,road,17.4,False
WE03037,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,750000.0,375000.0,367235.04,stalled,545.0,2023-05-31,2024-11-26,,Zilla Parishad,drinking water,11.4,False
MA03038,Pune Constituency,Pune,Sunita Reddy,Maharashtra,2000000.0,1000000.0,352256.4,ongoing,180.0,2024-01-03,2024-07-01,,PWD,road,31.3,False
UT03039,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,200000.0,100000.0,90448.14,sanctioned,730.0,2023-06-13,2025-06-12,,Jal Nigam,drinking water,,False
RA03040,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,750000.0,750000.0,673148.88,ongoing,270.0,2023-12-25,2024-09-20,,Zilla Parishad,community hall,42.7,False
UT03041,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1000000.0,1000000.0,401919.51,stalled,365.0,2023-06-11,2024-06-10,,Jal Nigam,road,39.2,False
MA03042,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,2000000.0,1000000.0,947701.42,stalled,270.0,2023-08-05,2024-05-01,,PWD,road,12.3,False
TA03043,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,2000000.0,1000000.0,650972.04,stalled,270.0,2023-06-29,2024-03-25,,PWD,irrigation,31.2,False
RA03044,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,1500000.0,1500000.0,1354210.69,completed,180.0,2023-07-29,2024-01-25,2024-07-14,Rural Dev Dept,electricity,100.0,False
AN03045,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,500000.0,500000.0,454121.71,stalled,270.0,2024-05-31,2025-02-25,,Jal Nigam,irrigation,35.0,False
BI03046,Gaya Constituency,Gaya,Lakshmi Kumar,Bihar,750000.0,375000.0,279324.38,completed,90.0,2024-05-22,2024-08-20,2024-11-17,Zilla Parishad,school,100.0,False
TA03047,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,1500000.0,0.0,0.0,recommended,730.0,2024-03-24,2026-03-24,,PWD,irrigation,,False
RA03048,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,1500000.0,750000.0,732989.88,ongoing,270.0,2023-12-22,2024-09-17,,Jal Nigam,sanitation,15.0,False
UT03049,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,750000.0,375000.0,365077.0,ongoing,180.0,2024-07-03,2024-12-30,,Rural Dev Dept,school,53.9,False
WE03050,Howrah Constituency,Howrah,Meena Singh,West Bengal,300000.0,150000.0,391809.27,stalled,270.0,2024-09-23,2025-06-20,,Rural Dev Dept,community hall,19.5,False
UT03051,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1500000.0,1500000.0,993836.33,ongoing,180.0,2024-03-01,2024-08-28,,Jal Nigam,road,85.8,False
AN03052,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,1000000.0,500000.0,176064.84,ongoing,180.0,2023-12-05,2024-06-02,,Rural Dev Dept,road,67.9,False
UT03053,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1000000.0,500000.0,161876.91,sanctioned,730.0,2023-08-15,2025-08-14,,PWD,school,,False
RA03054,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,2000000.0,0.0,0.0,recommended,270.0,2023-04-11,2024-01-06,,Jal Nigam,sanitation,,False
