Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,drop_reason,released_amount_imputed,flag_reason
119,WE10533,Kolkata Constituency,,West Bengal,1000000,500000.0,377522.67,completed,365,2023-03-15,2024-03-14,2024-06-19,Rural Dev Dept,sanitation,100.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
260,UT10503,Lucknow Constituency,,Uttar Pradesh,750000,0.0,0.0,recommended,545,2024-10-12,2026-04-10,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
307,AN10530,Krishna Constituency,,Andhra Pradesh,1500000,,0.0,recommended,730,2023-12-29,2025-12-28,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
314,UT10538,Lucknow Constituency,,Uttar Pradesh,2000000,1000000.0,952809.34,sanctioned,730,2023-05-11,2025-05-10,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
324,KE10550,Kozhikode Constituency,,Kerala,750000,375000.0,179293.91,stalled,365,2024-11-29,2025-11-29,,Jal Nigam,road,11.4,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
346,BI10518,Patna Constituency,,Bihar,500000,500000.0,218205.27,sanctioned,365,2024-01-09,2025-01-08,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
357,UT10535,Varanasi Constituency,,Uttar Pradesh,750000,750000.0,749933.31,sanctioned,90,2023-03-16,2023-06-14,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
367,UT10527,Varanasi Constituency,,Uttar Pradesh,750000,750000.0,609192.29,stalled,180,2024-10-22,2025-04-20,,Zilla Parishad,school,46.6,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
369,UT10534,Lucknow Constituency,,Uttar Pradesh,300000,150000.0,104730.74,ongoing,365,2024-05-18,2025-05-18,,Jal Nigam,community hall,29.1,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
374,BI10548,Muzaffarpur Constituency,,Bihar,1000000,500000.0,367766.9,sanctioned,270,2024-02-17,2024-11-13,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
