state_id,state_name
1,Maharashtra
2,Jammu And Kashmir
3,Bihar
4,West Bengal
5,Uttar Pradesh
6,Kerala
7,Uttarakhand
8,Manipur
9,Madhya Pradesh
10,Assam
11,Andhra Pradesh
12,Rajasthan
13,Punjab
14,Odisha
15,Tamil Nadu
16,Meghalaya
17,Jharkhand
18,Himachal Pradesh
19,Telangana
20,Delhi
21,Karnataka
22,Gujarat
23,Chhattisgarh
24,Tripura
25,Andaman And Nicobar Islands
26,Goa
27,Haryana
28,Sikkim
29,The Dadra And Nagar Haveli And Daman And Diu
30,Arunachal Pradesh
31,Chandigarh
32,Ladakh
33,Lakshadweep
34,Mizoram
35,Nagaland
36,Puducherry
