,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file
0,WE10551,Howrah Constituency,Howrah,West Bengal,1500000,0.0,0.0,recommended,545,2023-06-14,2024-12-10,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv
1,BI09187,Gaya Constituency,Gaya,Bihar,1000000,1000000.0,871520.46,SANCTIONED,90,20-05-2024,2024-08-18,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv
2,AN10752,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,300000.0,207000.0,ONGOING,730,2024-05-27,2026-05-27,,Rural Dev Dept,community hall,70.3,synthetic,sample_projects_synthetic.csv
3,TA09768,Madurai Constituency,Madurai,Tamil Nadu,1500000,1500000.0,655472.8,sanctioned,90,2024-09-18,17-12-2024,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv
4,UT10259,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,500000.0,414218.15,sanctioned,730,2024-06-04,04-06-2026,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv
5,AN10558,Krishna Constituency,Krishna,Andhra Pradesh,300000,300000.0,171997.8,sanctioned,365,2023-01-19,19-01-2024,,PWD,school,,synthetic,sample_projects_synthetic.csv
6,TA09325,Madurai Constituency,Madurai,Tamil Nadu,1500000,,970091.21, stalled ,545,15-04-2023,2024-10-11,,Rural Dev Dept,road,67.9,synthetic,sample_projects_synthetic.csv
7,MA09063,Nagpur Constituency,Nagpur,Maharashtra,1500000,750000.0,439988.08,completed,90,11-05-2023,2023-08-09,11-07-2023,PWD,road,100.0,synthetic,sample_projects_synthetic.csv
8,BI09365,Gaya Constituency,Gaya,Bihar,750000,,370882.89,ongoing,270,2023-10-20,2024-07-16,,PWD,drinking water,34.4,synthetic,sample_projects_synthetic.csv
9,BI10646,Gaya Constituency,Gaya,Bihar,200000,100000.0,99004.6,ongoing,180,2023-10-22,2024-04-19,,Jal Nigam,school,70.5,synthetic,sample_projects_synthetic.csv
10,RA10207,Jaipur Constituency,Jaipur,Rajasthan,300000,300000.0,166696.59,completed,365,14-05-2024,2025-05-14,2025-09-24,Jal Nigam,electricity,100.0,synthetic,sample_projects_synthetic.csv
11,AN10647,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,150000.0,85500.0,ongoing,730,04-02-2024,03-02-2026,,Jal Nigam,electricity,18.9,synthetic,sample_projects_synthetic.csv
12,WE09215,Howrah Constituency,Howrah,West Bengal,750000,750000.0,735653.64,ongoing,730,2024-03-05,2026-03-05,,Zilla Parishad,drinking water,40.6,synthetic,sample_projects_synthetic.csv
13,KA09620,Belagavi Constituency,Belagavi,Karnataka,300000,300000.0,211282.21,STALLED,365,22-03-2024,22-03-2025,,Jal Nigam,electricity,67.5,synthetic,sample_projects_synthetic.csv
14,MA10575,Pune Constituency,Pune,Maharashtra,750000,750000.0,456261.3,stalled,545,25-07-2024,2026-01-21,,Jal Nigam,drinking water,59.8,synthetic,sample_projects_synthetic.csv
15,WE09382,Howrah Constituency,Howrah,West Bengal,2000000,2000000.0,1226351.87,completed,270,2023-06-18,2024-03-14,2024-04-21,PWD,sanitation,100.0,synthetic,sample_projects_synthetic.csv
16,RA09509,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,2000000.0,1034102.31,ongoing,90,2024-06-09,07-09-2024,,Rural Dev Dept,drinking water,55.8,synthetic,sample_projects_synthetic.csv
17,BI09074,Patna Constituency,Patna,Bihar,500000,250000.0,146129.78,sanctioned,180,2024-09-08,07-03-2025,,PWD,community hall,,synthetic,sample_projects_synthetic.csv
18,KA10394,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,200000,200000.0,106883.05,sanctioned,730,2023-10-15,2025-10-14,,PWD,road,,synthetic,sample_projects_synthetic.csv
19,UT09323,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,500000.0,415000.0,ongoing,365,2024-08-08,2025-08-08,,Zilla Parishad,road,35.0,synthetic,sample_projects_synthetic.csv
20,WE09726,Howrah Constituency,Howrah,West Bengal,2000000,2000000.0,1642860.43,ongoing,545,2023-12-09,06-06-2025,,Rural Dev Dept,community hall,36.8,synthetic,sample_projects_synthetic.csv
21,BI09920,Patna Constituency,Patna,Bihar,200000,100000.0,99359.58,completed,365,2024-05-17,2025-05-17,2025-05-22,Zilla Parishad,electricity,100.0,synthetic,sample_projects_synthetic.csv
22,RA10109,Jaipur Constituency,Jaipur,Rajasthan,200000,0.0,0.0,recommended,545,24-06-2024,2025-12-21,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv
23,BI10730,Gaya Constituency,Gaya,Bihar,200000,200000.0,193566.75,sanctioned,730,2024-10-02,2026-10-02,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv
24,TA10606,Chennai Constituency,Chennai,Tamil Nadu,300000,300000.0,174000.0,completed,365,2024-05-30,2025-05-30,2025-08-29,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv
25,BI09503,Patna Constituency,Patna,Bihar,2000000,2000000.0,1016233.73,sanctioned,545,2023-04-06,2024-10-02,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv
26,AN10430,Guntur Constituency,Guntur,Andhra Pradesh,200000,200000.0,84461.61, ongoing ,545,26-02-2023,2024-08-24,,Jal Nigam,irrigation,57.8,synthetic,sample_projects_synthetic.csv
27,AN10684,Krishna Constituency,Krishna,Andhra Pradesh,750000,750000.0,405000.0,sanctioned,365,2024-02-12,2025-02-11,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv
28,TA09008,Coimbatore Constituency,Coimbatore,Tamil Nadu,2000000,0.0,0.0,recommended,365,2024-06-11,2025-06-11,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv
29,TA10688,Madurai Constituency,Madurai,Tamil Nadu,2000000,2000000.0,1760000.0,stalled,90,01-10-2024,2024-12-30,,PWD,community hall,61.6,synthetic,sample_projects_synthetic.csv
30,AN09827,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,,481535.02,stalled,365,2023-09-28,2024-09-27,,Jal Nigam,road,58.7,synthetic,sample_projects_synthetic.csv
31,UT09021,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,1500000.0,974972.86,ONGOING,730,06-05-2023,2025-05-05,,Zilla Parishad,community hall,59.8,synthetic,sample_projects_synthetic.csv
32,RA09724,Jodhpur Constituency,Jodhpur,Rajasthan,750000,375000.0,169742.22,SANCTIONED,270,13-05-2024,07-02-2025,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv
33,BI09278,Muzaffarpur Constituency,Muzaffarpur,Bihar,2000000,2000000.0,1485686.15,completed,730,2023-12-22,2025-12-21,2025-12-21,Zilla Parishad,drinking water,100.0,synthetic,sample_projects_synthetic.csv
34,TA09848,Madurai Constituency,Madurai,Tamil Nadu,500000,,259118.02,sanctioned,270,2023-12-07,2024-09-02,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv
35,RA09345,Jodhpur Constituency,Jodhpur,Rajasthan,300000,150000.0,64479.47,completed,365,2023-09-30,2024-09-29,2025-02-20,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv
36,KE09542,Ernakulam Constituency,Ernakulam,Kerala,1000000,1000000.0,533731.18,stalled,270,2024-10-15,2025-07-12,,Jal Nigam,electricity,79.4,synthetic,sample_projects_synthetic.csv
37,KE10223,Kozhikode Constituency,Kozhikode,Kerala,300000,0.0,0.0,recommended,730,03-03-2023,2025-03-02,,Jal Nigam,irrigation,,synthetic,sample_projects_synthetic.csv
38,KE09424,Kozhikode Constituency,Kozhikode,Kerala,2000000,1000000.0,781940.55, stalled ,180,2023-04-20,2023-10-17,,PWD,electricity,63.5,synthetic,sample_projects_synthetic.csv
39,BI10750,Gaya Constituency,Gaya,Bihar,750000,375000.0,142500.0, sanctioned ,545,2023-10-05,2025-04-02,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv
40,KE09073,Ernakulam Constituency, Ernakulam,Kerala,750000,375000.0,229098.13,COMPLETED,365,2024-05-24,24-05-2025,2025-05-09,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv
41,UT09971,Varanasi Constituency,Varanasi,Uttar Pradesh,200000,,61729.09,ongoing,90,2024-06-25,2024-09-23,,Jal Nigam,school,53.4,synthetic,sample_projects_synthetic.csv
42,UT10462,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,0.0,0.0,recommended,365,2024-05-18,2025-05-18,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv
43,KA09864,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,200000,200000.0,143361.19,sanctioned,365,2024-03-27,2025-03-27,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
44,TA10043,Madurai Constituency,Madurai,Tamil Nadu,500000,0.0,0.0,recommended,90,2024-06-05,2024-09-03,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv
45,BI09944,Patna Constituency,Patna,Bihar,750000,750000.0,428293.95,stalled,90,24-06-2023,22-09-2023,,Rural Dev Dept,sanitation,37.9,synthetic,sample_projects_synthetic.csv
46,MA09843,Pune Constituency,Pune,Maharashtra,750000,375000.0,176250.0,completed,270,12-05-2023,2024-02-06,2024-04-21,Jal Nigam,drinking water,100.0,synthetic,sample_projects_synthetic.csv
47,TA10167,Coimbatore Constituency,Coimbatore,Tamil Nadu,200000,200000.0,97934.0,ongoing,730,2024-09-29,2026-09-29,,Rural Dev Dept,sanitation,38.6,synthetic,sample_projects_synthetic.csv
48,UT10298,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,0.0,0.0,recommended,545,2023-11-14,2025-05-12,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv
49,UT10710,Varanasi Constituency,Varanasi,Uttar Pradesh,300000,300000.0,286039.42,ongoing,180,2023-10-24,21-04-2024,,Zilla Parishad,electricity,58.7,synthetic,sample_projects_synthetic.csv
50,BI09990,Patna Constituency,Patna,Bihar,500000,250000.0,211015.21, stalled ,180,2024-10-07,05-04-2025,,PWD,drinking water,35.3,synthetic,sample_projects_synthetic.csv
51,UT10691,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,250000.0,225450.18,stalled,545,2023-11-21,2025-05-19,,PWD,community hall,63.7,synthetic,sample_projects_synthetic.csv
52,RA09090,Jaipur Constituency,Jaipur,Rajasthan,200000,100000.0,39000.0,completed,730,29-04-2024,29-04-2026,2026-07-11,Jal Nigam,irrigation,100.0,synthetic,sample_projects_synthetic.csv
53,AN09691,Krishna Constituency,Krishna,Andhra Pradesh,300000,150000.0,122416.12, sanctioned ,90,2023-10-30,2024-01-28,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv
54,BI09897,Patna Constituency,Patna,Bihar,750000,375000.0,181095.56,stalled,730,2024-03-05,2026-03-05,,PWD,drinking water,79.9,synthetic,sample_projects_synthetic.csv
55,KA10216,Mysuru Constituency,Mysuru,Karnataka,500000,500000.0,303998.61,ongoing,180,27-06-2024,2024-12-24,,Rural Dev Dept,community hall,93.2,synthetic,sample_projects_synthetic.csv
56,AN10558,Krishna Constituency,Krishna,Andhra Pradesh,300000,300000.0,120139.13,sanctioned,365,2023-01-19,19-01-2024,,PWD,school,,synthetic,sample_projects_synthetic.csv
57,MA09777,Pune Constituency,Pune,Maharashtra,1000000,0.0,0.0,recommended,730,2024-11-01,2026-11-01,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv
58,TA09015,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,300000.0,258000.0,ongoing,365,2024-03-31,2025-03-31,,Jal Nigam,community hall,77.7,synthetic,sample_projects_synthetic.csv
59,BI10630,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,0.0,0.0,recommended,730,07-11-2023,2025-11-06,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv
60,AN10456,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,200000,200000.0,85840.73,sanctioned,365,24-02-2023,2024-02-24,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv
61,TA10757,Chennai Constituency,Chennai,Tamil Nadu,300000,300000.0,246000.0,sanctioned,90,2024-06-03,2024-09-01,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv
62,RA09649,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,2000000.0,1274943.24,completed,365,2024-09-21,2025-09-21,30-12-2025,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv
63,AN09455,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,750000,375000.0,228750.0,completed,90,2024-03-13,2024-06-11,12-07-2024,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv
64,AN09140,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,2000000,2000000.0,1560000.0,sanctioned,730,2023-09-16,15-09-2025,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv
65,MA10643,Pune Constituency,Pune,Maharashtra,300000,0.0,0.0,recommended,270,2024-10-25,2025-07-22,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv
66,RA10336,Jaipur Constituency,Jaipur,Rajasthan,500000,500000.0,251087.07,stalled,730,2023-07-23,2025-07-22,,Rural Dev Dept,irrigation,71.1,synthetic,sample_projects_synthetic.csv
67,MA09177,Pune Constituency,Pune,Maharashtra,750000,750000.0,349864.01, sanctioned ,365,2023-11-18,2024-11-17,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv
68,KA10334,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,750000.0,552834.48,stalled,180,2024-10-12,2025-04-10,,Zilla Parishad,road,28.2,synthetic,sample_projects_synthetic.csv
69,UT09980,Varanasi Constituency,Varanasi,Uttar Pradesh,1000000,1000000.0,643833.46,sanctioned,90,2024-06-22,2024-09-20,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv
70,AN09219,Guntur Constituency,Guntur,Andhra Pradesh,750000,375000.0,262500.0, ongoing ,545,04-05-2024,2025-10-31,,PWD,school,12.2,synthetic,sample_projects_synthetic.csv
71,TA09553,Coimbatore Constituency,Coimbatore,Tamil Nadu,750000,375000.0,153875.02,stalled,90,2023-05-07,05-08-2023,,Zilla Parishad,school,15.8,synthetic,sample_projects_synthetic.csv
72,TA09136,Chennai Constituency,Chennai,Tamil Nadu,500000,500000.0,432090.08,ongoing,270,2024-03-23,2024-12-18,,Jal Nigam,irrigation,74.2,synthetic,sample_projects_synthetic.csv
73,MA09781,Nagpur Constituency,Nagpur,Maharashtra,2000000,0.0,0.0,RECOMMENDED,365,2024-06-07,07-06-2025,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv
74,MA10020,Nagpur Constituency,Nagpur,Maharashtra,200000,100000.0,67262.81,stalled,545,2024-07-28,2026-01-24,,Jal Nigam,irrigation,48.0,synthetic,sample_projects_synthetic.csv
75,BI10405,Gaya Constituency,Gaya,Bihar,750000,0.0,0.0,recommended,270,2023-05-04,29-01-2024,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv
76,KE09968,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,297879.17,ongoing,180,2024-04-06,2024-10-03,,PWD,road,27.6,synthetic,sample_projects_synthetic.csv
