project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent
BI1942,Gaya Constituency, Gaya,Bihar,500000,0,0,sanctioned,02-01-2023,2024-01-02,,PWD,drinking water,
KA1959,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,1500000.0,1024329.18,ongoing,2023-02-25,2024-02-25,,Rural Dev Dept,sanitation,65.8
KA1918,Mysuru Constituency, Mysuru,Karnataka,500000,500000.0,472447.71,stalled,08-09-2023,2024-09-07,,Zilla Parishad,sanitation,14.6
UT1947,Varanasi Constituency,Varanasi,Uttar Pradesh,1000000,0,0,sanctioned,2023-05-17,2024-05-16,,Zilla Parishad,drinking water,
KA1956,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,500000,500000.0,275188.04,sanctioned,22-11-2023,2024-11-21,,PWD,school,
TA1952,Chennai Constituency,Chennai,Tamil Nadu,1000000,1000000.0,1241052.45,completed,22-03-2024,2025-03-22,2025-07-08,,drinking water,100.0
AN1926,Guntur Constituency,Guntur,Andhra Pradesh,300000,150000.0,100987.46,completed,09-11-2023,2024-11-08,2025-05-14,PWD,sanitation,100.0
AN1930,Guntur Constituency,Guntur,Andhra Pradesh,1500000,1500000.0,950987.98,completed,2023-01-04,2024-01-04,04-03-2024,,road,100.0
TA1946,Chennai Constituency,Chennai,Tamil Nadu,300000,,140865.89,recommended,2023-06-11,2024-06-10,,PWD,drinking water,
TA1927,Chennai Constituency,Chennai,Tamil Nadu,1000000,0,0,STALLED,2023-05-08,2024-05-07,,,community hall,20.9
TA1906,Chennai Constituency, Chennai,Tamil Nadu,1500000,,959460.45,stalled,08-08-2023,2024-08-07,,,community hall,29.7
AN1919,Guntur Constituency, Guntur,Andhra Pradesh,300000,0,426458.88,sanctioned,2023-10-07,2024-10-06,,PWD,school,
TA1902,Chennai Constituency,Chennai,Tamil Nadu,1000000,500000.0,262534.52,completed,2023-10-29,28-10-2024,08-12-2024,Rural Dev Dept,community hall,100.0
BI1915,Patna Constituency,Patna,Bihar,300000,0,520251.72,sanctioned,2023-07-26,2024-07-25,,Rural Dev Dept,drinking water,
AN1921,Krishna Constituency,Krishna,Andhra Pradesh,1000000,,0,completed,24-04-2023,2024-04-23,2024-05-14,Rural Dev Dept,school,100.0
TA1925,Madurai Constituency, Madurai,Tamil Nadu,750000,750000.0,512933.78, completed ,2023-08-15,2024-08-14,2025-01-03,Zilla Parishad,school,100.0
UT1923,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,750000.0,300761.08,ongoing,2023-01-23,23-01-2024,,Rural Dev Dept,community hall,93.3
TA1909,Madurai Constituency,Madurai,Tamil Nadu,300000,0,0,COMPLETED,22-02-2024,2025-02-21,2025-02-08,Zilla Parishad,community hall,100.0
BI1917,Patna Constituency,Patna,Bihar,1000000,1000000.0,404693.86,stalled,18-02-2024,17-02-2025,,Zilla Parishad,school,83.5
UT1955,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,0,0,sanctioned,2023-07-15,14-07-2024,,PWD,community hall,
KA1910,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1000000,1000000.0,548743.37,COMPLETED,05-04-2024,2025-04-05,16-07-2025,PWD,road,100.0
TA1922,Chennai Constituency,Chennai,Tamil Nadu,750000,0,0,RECOMMENDED,25-03-2024,2025-03-25,,Rural Dev Dept,sanitation,
BAD1536,,,,400000,,0,ongoing,,,,,road,
KA1932,Mysuru Constituency,Mysuru,Karnataka,1000000,1000000.0,1211629.97,completed,2023-05-10,2024-05-09,2024-11-08,Zilla Parishad,road,100.0
UT1947,Varanasi Constituency,Varanasi,Uttar Pradesh,1000000,0,0.0,sanctioned,2023-05-17,2024-05-16,,Zilla Parishad,drinking water,
KA1959,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,1500000.0,1331627.94,ongoing,2023-02-25,2024-02-25,,Rural Dev Dept,sanitation,65.8
UT1954,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,1262084.88, ongoing ,2023-12-08,2024-12-07,,,school,91.1
